query,true_tool,true_needed,pred_needed,pred_tool,correct_select,raw_output
I want to optimize my flashcards. Any tips?,MemoryTool,1,1,MemoryTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemoryTool""}"
Can you create a flashcard for me about the causes of World War II?,MemoryTool,1,1,BookTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
How can I create flashcards?,MemoryTool,1,1,MemoryTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemoryTool""}"
I need information about California's laws regarding medical malpractice. Can you provide an overview?,LawTool,1,1,LawTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
Can you please provide me with a list of lawyers in Kyoto who specialize in intellectual property rights and are able to provide legal advice on this matter?,LawTool,1,1,LawTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
"Can you check and provide a detailed analysis regarding the legality of employers monitoring their employees' emails, specifically in terms of applicable laws, employee privacy rights, and any potential consequences or restrictions pertaining to such monitoring?",LawTool,1,1,LawTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
Can you recommend a lawyer who specializes in employment law in Japan? I need help as I have an issue with my employer.,LawTool,1,1,LawTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
What are the penalties for driving under the influence in California?,LawTool,1,1,LawTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
How can I draw a diagram?,ChartTool,1,1,ChartTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ChartTool""}"
"Can you visualize and present in a visually appealing manner the various intricate steps and processes involved in the water cycle, showcasing the continuous and dynamic movement of water throughout the Earth's ecosystem?",ChartTool,1,1,NASATool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
Create a graph showing the relationship between different programming languages.,ChartTool,1,1,ChartTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ChartTool""}"
"Can you please provide a detailed explanation of the process of photosynthesis, accompanied by a diagram illustrating the key steps and components involved?",ChartTool,1,1,NASATool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
Can you help me create a flowchart of my business processes?,ChartTool,1,1,ChartTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ChartTool""}"
"Hey, I heard there was an earthquake in the Philippines recently. Can you provide me with details?",EarthquakeTool,1,1,EarthquakeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""EarthquakeTool""}"
"Can you provide me with the most recent earthquake updates, including information about the magnitude, location, and potential impact of the earthquakes?",EarthquakeTool,1,1,EarthquakeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""EarthquakeTool""}"
Can you tell me about seismic monitoring in the Philippines?,EarthquakeTool,1,1,EarthquakeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""EarthquakeTool""}"
Tell me about the earthquakes in the Philippines!,EarthquakeTool,1,1,EarthquakeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""EarthquakeTool""}"
Are there any specific regions in the Philippines that have experienced a significant number of earthquakes with a magnitude of 4 or greater in the past year?,EarthquakeTool,1,1,EarthquakeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""EarthquakeTool""}"
Can I get some images of the most recent solar eclipse captured by NASA?,NASATool,1,1,NASATool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
"Can you quickly search and display various high-resolution images of the awe-inspiring International Space Station, showcasing its striking exterior and mesmerizing interior?",NASATool,1,1,NASATool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
How can I search for specific images and videos from NASA's library?,NASATool,1,1,NASATool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
"Please show me a comprehensive collection of high-resolution images and videos depicting the iconic Apollo moon landing mission, capturing significant moments such as Neil Armstrong's first step on the lunar surface and the deployment of scientific experiments by the astronauts.",NASATool,1,1,NASATool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
"I'm interested in original recordings from the Apollo missions, how can I find them?",NASATool,1,1,NASATool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
"Can you fetch the complete registered office address, including street, city, postal code, and country, of a specific company from Companies House?",CompanyInfoTool,1,1,CompanyInfoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CompanyInfoTool""}"
I'm trying to find the registered office address of STU Corporation. Can you assist me with that?,CompanyInfoTool,1,1,CompanyInfoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CompanyInfoTool""}"
"I'm interested in the major subsidiaries of Johnson & Johnson, could you list them for me?",CompanyInfoTool,1,1,CompanyInfoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CompanyInfoTool""}"
Can you give me information on the current liabilities of GlaxoSmithKline?,CompanyInfoTool,1,1,CompanyInfoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CompanyInfoTool""}"
Can you tell me the number of employees at Amazon?,CompanyInfoTool,1,1,CompanyInfoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CompanyInfoTool""}"
I'm a recent graduate with limited work experience. Can you suggest how to make my resume stand out to employers?,ResumeTool,1,1,ResumeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
"I need assistance in enhancing the content, design, and overall presentation of my resume, specifically tailored for an administrative assistant position.",ResumeTool,1,1,ResumeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
Can you suggest improvements to my resume without me having to ask?,ResumeTool,1,1,ResumeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
Can you provide me guidance on how to craft a compelling summary for my resume?,ResumeTool,1,1,ResumeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
Can you provide tips on writing a compelling summary statement for my resume as a project manager?,ResumeTool,1,1,ResumeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
"Create a meme about the challenges of online shopping, please.",MemeTool,1,1,MemeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemeTool""}"
"Can you generate a funny meme for me depicting a hilarious scenario or joke, combining witty text with an amusing image, to add a touch of humor and entertainment to my day?",MemeTool,1,1,MemeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemeTool""}"
Can you use AI to create a funny meme?,MemeTool,1,1,MemeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemeTool""}"
"I would like a meme, preferably a funny one, that is directly related to the stress and struggle of studying for exams.",MemeTool,1,1,MemeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemeTool""}"
Can you make a meme mocking Mondays?,MemeTool,1,1,MemeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemeTool""}"
"Can you help me find a personalized gift for my best friend, who is extremely passionate about fitness and yoga, and would appreciate something that complements their active lifestyle and interests?",GiftTool,1,1,GiftTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GiftTool""}"
I need suggestions for a business gift to impress a potential client.,GiftTool,1,1,GiftTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GiftTool""}"
"Can you help me find a unique and thoughtful gift for a newborn baby boy born to my cousin, James, who has a passion for dinosaurs and outer space?",GiftTool,1,1,GiftTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GiftTool""}"
"Ugh, I need some gift ideas for my best friend. Can you help? ",GiftTool,1,1,GiftTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GiftTool""}"
I'm looking for a gift for my husband who loves adventure. Any suggestions?,GiftTool,1,1,GiftTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GiftTool""}"
"I'm looking for the best laptop under $1000, specifically seeking recommendations from reputable technology review websites to ensure accurate and expert advice.",PDF&URLTool,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"I'm having trouble uploading my document, can you help me resolve the issue?",PDF&URLTool,1,1,PDF&URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PDF&URLTool""}"
Can you provide any information about the website?,PDF&URLTool,1,1,URLTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"Is it possible for the website to convert all the content, including text, images, and formatting, from this specific webpage into a high-quality PDF document that retains the same layout and appearance as the original webpage?",PDF&URLTool,1,1,PDF&URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PDF&URLTool""}"
Please provide more information about the specific features and functionalities offered by magicform.ai.,PDF&URLTool,1,1,CourseTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""CourseTool""}"
Could you give me a summary of the YouTube video?,VideoSummarizeTool,1,1,VideoSummarizeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""VideoSummarizeTool""}"
I'm so tired of watching long videos. Can you summarize this one for me?,VideoSummarizeTool,1,1,VideoSummarizeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""VideoSummarizeTool""}"
"Hey Chatbot, I stumbled upon a fascinating documentary on quantum physics. Can you provide a summary of the main concepts discussed?"" ",VideoSummarizeTool,1,1,VideoSummarizeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""VideoSummarizeTool""}"
Can you summarize the key points from this YouTube video about baking a chocolate cake?,VideoSummarizeTool,1,1,VideoSummarizeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""VideoSummarizeTool""}"
Could you help me understand the concept from this educational video I found on Daily Motion?,VideoSummarizeTool,1,1,VideoSummarizeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""VideoSummarizeTool""}"
"I need a filter, specifically designed for food photography, that can effectively enhance the colors in my images, bringing out the vibrant and appetizing tones of the food.",MediaModifyTool,1,1,MediaModifyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaModifyTool""}"
Rotate this image 90 degrees clockwise.,MediaModifyTool,1,1,MediaModifyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaModifyTool""}"
Can you please resize this image to a dimension of 1200 pixels by 800 pixels and save it in JPEG format for me?,MediaModifyTool,1,1,MediaModifyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaModifyTool""}"
Can you help me find a filter to make my photo look vintage?,MediaModifyTool,1,1,MediaModifyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaModifyTool""}"
Is it possible to blur parts of an image with this feature? ,MediaModifyTool,1,1,MediaModifyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaModifyTool""}"
I'm going on a picnic and I need lunch ideas. What should I make and what ingredients do I need? ,DietTool,1,1,DietTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""DietTool""}"
Can someone please provide specific and simple dinner recipes that can be prepared swiftly?,DietTool,1,1,DietTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""DietTool""}"
"Can you recommend a variety of meals that align with my specific dietary restrictions, which may include allergies, food intolerances, and personal preferences, while also ensuring they meet my nutritional needs by providing detailed information regarding their calorie content, macronutrient distribution, and potential allergens?",DietTool,1,1,DietTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""DietTool""}"
"I'm looking for an intelligent and interactive AI coach specifically designed for nutrition and diet, capable of providing personalized guidance and suggestions to help me make significant improvements in my eating habits.",DietTool,1,1,DietTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""DietTool""}"
"Sure, I can definitely assist you in tracking the number of calories you consume on a daily basis using a calorie tracking app or a food diary, allowing you to maintain a detailed record of your calorie intake throughout the day and helping you make informed decisions for a healthier lifestyle.",DietTool,1,1,DietTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""DietTool""}"
"I would like to develop a visually appealing and user-friendly online resume that effectively highlights my extensive qualifications, skills, and professional experience in order to stand out among potential employers.",WebsiteTool,1,1,ResumeTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
I'm planning to start a food blog but have no idea how to make a website and publish my recipes. Can you guide me?,WebsiteTool,1,1,WebsiteTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WebsiteTool""}"
How can I create a professional-looking website?,WebsiteTool,1,1,WebsiteTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WebsiteTool""}"
Can you show me a diverse range of visually appealing and user-friendly examples of websites that have been created using this state-of-the-art and advanced AI plugin?,WebsiteTool,1,1,WebsiteTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WebsiteTool""}"
Is there a way to quickly setup my website using AI?,WebsiteTool,1,1,WebsiteTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WebsiteTool""}"
"Can you please provide more information about the ""healthandwellness.org"" domain name, such as the registrar or any specific requests related to its existence?",URLTool,1,1,URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"Can you please assist me by checking the availability of the following domains - example.com, mywebsite.net, and beststore.org?",URLTool,1,1,URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"This is ridiculous, every domain I try is unavailable!",URLTool,1,1,URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"I need a unique and catchy domain name that reflects my passion for photography, which I can use specifically for showcasing my portfolio of stunning photographs.",URLTool,1,1,URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"I want to secure a domain for my social media platform. Can you see if ""connectedcommunity.com"" is available?",URLTool,1,1,URLTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
I want to find budget-friendly hotels in Sapporo that are affordable and within my price range without compromising on quality or location.,TripTool,1,1,TripTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
How long does it take to travel by ferry from Sydney to Hobart?,TripTool,1,1,TripTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"Can you find me a budget-friendly hotel in San Francisco that is conveniently located and offers comfortable accommodation, complimentary amenities, and a stunning view of the iconic Golden Gate Bridge?",TripTool,1,1,TripTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
Can you suggest some affordable stays in New York City for a family of four?,TripTool,1,1,TripTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
I'm furious with these exorbitant prices for hotel rooms! I demand a more affordable option for my upcoming trip!,TripTool,1,1,TripTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"I want to plan a fun and exciting family vacation in Orlando, Florida, known for its numerous theme parks, such as Walt Disney World, Universal Orlando Resort, and SeaWorld.",TripAdviceTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
How can I have an engaging journey?,TripAdviceTool,1,1,MediaTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaTool""}"
"Are there any specific visa requirements, such as type of visa, duration of stay, and eligibility criteria, for traveling to Canada?",TripAdviceTool,1,1,LawTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""LawTool""}"
What are some popular tourist attractions in London that offer a variety of engaging activities and historical landmarks for visitors to explore?,TripAdviceTool,1,1,TripAdviceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""TripAdviceTool""}"
What services do you offer to help me with my QEEQ travels?,TripAdviceTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"Could you please suggest a captivating and intricate fantasy book series that is filled with mesmerizing world-building, complex characters, and engaging plot twists?",BookTool,1,1,BookTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
"Is it possible to filter the search results by author, publication date, and any other relevant criteria on Wikidocs using this plugin, in order to find specific and recent information?",BookTool,1,1,BookTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
"Can you recommend a colorful and engaging picture book with vivid illustrations and informative facts about various animals, specifically designed for the enjoyment and understanding of a curious 4-year-old child?",BookTool,1,1,BookTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
My child is not interested in reading. Can you recommend any books that might get them excited? ,BookTool,1,1,BookTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
"I love reading historical fiction novels which vividly portray the events, characters, and settings of specific time periods, allowing me to immerse myself in richly detailed narratives that bring history to life.",BookTool,1,1,BookTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
I'm in the mood for some good old-fashioned horror movies. Any recommendations?,MediaTool,1,1,MediaTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaTool""}"
What is the most popular content right now?,MediaTool,1,1,MediaTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaTool""}"
"This TV selection is terrible, I can't find anything I like!",MediaTool,1,1,GameTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""GameTool""}"
I'm in the mood for something funny. Can you recommend any comedy TV shows or movies?,MediaTool,1,1,MediaTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaTool""}"
"Can you recommend a good TV show with compelling characters, an engaging plot, and high production value to watch?",MediaTool,1,1,MediaTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MediaTool""}"
What are some popular podcasts in the music category?,PodcastTool,1,1,PodcastTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PodcastTool""}"
"Can you give me a concise, yet detailed summary that includes all the key points and discussions covered in the latest episode of 'The Joe Rogan Experience' podcast?",PodcastTool,1,1,PodcastTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PodcastTool""}"
Can you give me a quick summary of the latest episode of The Joe Rogan Experience podcast?,PodcastTool,1,1,PodcastTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PodcastTool""}"
I'm so mad! Can't find any good podcasts on current events and news!,PodcastTool,1,1,PodcastTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PodcastTool""}"
Can you recommend any podcasts about sports?,PodcastTool,1,1,PodcastTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PodcastTool""}"
I need a playlist for my morning yoga session. Can you suggest calming and peaceful tracks?,MusicTool,1,1,MusicTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MusicTool""}"
Can you recommend some popular and recent hip-hop tracks from artists based in the United Kingdom?,MusicTool,1,1,MusicTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MusicTool""}"
I'm looking for popular K-pop tracks. Can you assist me?,MusicTool,1,1,MusicTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MusicTool""}"
"I would like to discover a wide range of music from different parts of the world, with a specific interest in exploring regional Mexican songs.",MusicTool,1,1,MusicTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MusicTool""}"
